Format;MediaType;DownloadUrl;AccessUrl;Language
csv;csv;https://datasets.cbs.nl/csv/CBS/nl/83841NED;https://dataportal.cbs.nl/detail/CBS/83841NED;nl
odata;odata;https://datasets.cbs.nl/odata/v1/CBS/83841NED;https://dataportal.cbs.nl/detail/CBS/83841NED;nl
